status_code, message, timestamp
2, "The PRT is currently down between Towers and Beechurst.", 2012/02/01 10:52:10
1, "The PRT is currently running on a normal schedule.", 2011/01/15 10:16:19
1, "The PRT is currently running on a normal schedule.", 2011/01/13 10:23:58
1, "The PRT is currently running on a normal schedule.", 2011/05/23 07:08:11
1, "The PRT is currently running on a normal schedule.", 2012/02/29 09:18:37
6, "The PRT is currently down at the Walnut Street station.", 2010/08/18 06:40:14
1, "The PRT is currently running on a normal schedule.", 2011/11/09 13:38:13
1, "The PRT is currently running on a normal schedule.", 2012/02/14 17:30:51
2, "The PRT is currently down between Engineering and Beechurst.", 2011/04/08 13:21:47
6, "The PRT is currently down at the Health Sciences Center station.", 2010/08/27 15:41:39
1, "The PRT is currently running on a normal schedule.", 2010/10/21 09:02:00
1, "The PRT is currently running on a normal schedule.", 2011/12/01 12:29:50
5, "The prt is out of service @ engbee and wal for ice removal busses will pick up @ the turnarounds outside of bee and eng and", 2012/01/30 07:13:52
1, "The PRT is currently running on a normal schedule.", 2010/09/04 17:24:31
1, "The PRT is currently running on a normal schedule.", 2010/09/10 16:00:33
2, "The PRT is currently down between Engineering and Beechurst.", 2011/12/09 12:21:28
1, "The PRT is currently running on a normal schedule.", 2012/02/02 07:53:45
5, "PRT is out of service to and from Beechurst Station and Walstaion buses are running", 2011/05/02 19:39:27
1, "The PRT is currently running on a normal schedule.", 2011/03/01 09:42:02
1, "The PRT is currently running on a normal schedule.", 2011/01/18 10:27:49
2, "The PRT is currently down between Beechurst and Engineering.", 2011/10/19 11:00:32
2, "The PRT is currently down between Beechurst and Engineering.", 2011/03/10 14:02:52
6, "The PRT is currently down at the Health Sciences Center station.", 2010/08/18 16:41:55
2, "The PRT is currently down between Engineering and Beechurst.", 2011/11/11 09:47:27
1, "The PRT is currently running on a normal schedule.", 2011/04/08 13:43:12
1, "The PRT is currently running on a normal schedule.", 2010/10/25 16:30:37
2, "The PRT is currently down between Engineering and Beechurst.", 2010/08/30 10:06:06
5, "The PRT is Currently down To and From Beechurst", 2010/11/03 21:43:21
6, "The PRT is currently down at the Walnut Street station.", 2011/12/02 10:35:41
1, "The PRT is currently running on a normal schedule.", 2010/09/07 08:42:45
1, "The PRT is currently running on a normal schedule.", 2010/09/10 16:03:12
2, "The PRT is currently down between Health Sciences Center and Beechurst.", 2012/02/02 09:58:02
1, "The PRT is currently running on a normal schedule.", 2011/12/09 14:41:16
5, "tHE PRT CANNOT OPERATE FROM BEE TO WAL AND WAL TO BEE ALL OTHER AREAS ARE OPERATING NORMALLY", 2012/02/27 08:34:56
1, "The PRT is currently running on a normal schedule.", 2011/05/02 20:06:06
2, "The PRT is currently down between Engineering and Health Sciences Center.", 2011/03/01 14:08:45
5, "Closed Sundays", 2012/02/11 17:01:56
1, "The PRT is currently running on a normal schedule.", 2012/01/11 09:57:44
6, "The PRT is currently down at the Health Sciences Center station.", 2011/03/11 11:58:24
5, "the prt is out of service @ bee and eng busses will pick up @ the turnarounds outside of eng and bee", 2011/10/19 11:02:39
1, "The PRT is currently running on a normal schedule.", 2011/01/27 10:20:22
4, "The PRT is currently down.", 2012/02/22 14:34:59
6, "The PRT is currently down at the Health Sciences Center station.", 2010/08/19 04:35:56
1, "The PRT is currently running on a normal schedule.", 2010/08/30 10:44:56
5, "Beechurst Sta is down at this time Also stopping Service to Walnut Sta and from Walnut Station", 2011/07/22 17:28:58
2, "The PRT is currently down between Beechurst and Walnut Street.", 2011/11/14 08:51:20
1, "The PRT is currently running on a normal schedule.", 2011/02/01 20:41:14
2, "The PRT is currently down between Beechurst and Towers.", 2011/04/11 09:58:53
1, "The PRT is currently running on a normal schedule.", 2010/10/26 13:08:25
1, "The PRT is currently running on a normal schedule.", 2011/12/05 04:49:43
1, "The PRT is currently running on a normal schedule.", 2010/09/07 14:11:10
1, "The PRT is currently running on a normal schedule.", 2010/12/09 08:40:07
1, "The PRT is currently running on a normal schedule.", 2011/12/12 11:31:28
1, "The PRT is currently running on a normal schedule.", 2011/05/04 07:16:56
5, "the prt is out of service @ engbee and wal buses will pick up @ the turnarounds outside of bee and eng and @ thge corner of walnut and chestnut streets outside of walnut", 2012/02/27 09:56:23
2, "The PRT is currently down between Beechurst and Towers.", 2010/09/13 10:02:59
6, "The PRT is currently down at the Health Sciences Center station.", 2010/08/19 15:28:06
1, "The PRT is currently running on a normal schedule.", 2012/02/13 07:46:19
5, "The prt is out of service @ eng and bee busses will pick up @ the turnarounds outside of eng and bee", 2011/10/19 13:58:47
1, "The PRT is currently running on a normal schedule.", 2011/01/27 10:59:16
5, "The PRT is down at Beechurst Engineering Towers and Health Sciences Center.  Busses will be picking up at Beechurst turnaround Engineering turnaround Towers crosswalk by the tennis courts and Health Sciences Center below the Mountaineer Station.  ", 2010/09/17 06:36:29
2, "The PRT is currently down between Towers and Health Sciences Center.", 2010/10/19 11:25:39
6, "The PRT is currently down at the Health Sciences Center station.", 2010/10/27 10:35:39
1, "The PRT is currently running on a normal schedule.", 2011/07/22 18:48:11
5, "prt is down all stations except for service between beechurst and walnut.", 2011/02/02 11:51:30
4, "The PRT is currently down.", 2011/04/11 16:49:16
5, "4444465656667778788888898999999999999999999999999999999999A", 2010/08/31 12:26:29
1, "The PRT is currently running on a normal schedule.", 2010/09/07 16:05:47
2, "The PRT is currently down between Engineering and Beechurst.", 2011/02/16 10:15:04
6, "The PRT is currently down at the Walnut Street station.", 2011/04/15 13:23:16
5, "The prt is currently out of service @ WAL busses will pick up by the main road outside of wal", 2011/01/10 09:33:48
1, "The PRT is currently running on a normal schedule.", 2012/02/02 12:25:15
5, "The prt is out of service at bee and eng busses will pick up at the turnarounds out side of bee and eng", 2011/01/20 08:24:03
1, "The PRT is currently running on a normal schedule.", 2010/09/13 11:38:22
1, "The PRT is currently running on a normal schedule.", 2010/09/29 13:50:44
1, "The PRT is currently running on a normal schedule.", 2011/10/25 11:46:52
5, "the prt is also down to towers sta buses are running Beech turnaround to tows  and from towers to hosp sta", 2010/09/17 15:58:44
2, "The PRT is currently down between Towers and Beechurst.", 2010/10/19 10:52:54
2, "The PRT is currently down between Engineering and Walnut Street.", 2010/08/23 08:17:23
1, "The PRT is currently running on a normal schedule.", 2010/08/31 12:31:24
2, "The PRT is currently down between Engineering and Beechurst.", 2011/02/07 13:44:44
6, "The PRT is currently down at the Beechurst station.", 2010/09/20 11:36:01
1, "The PRT is currently running on a normal schedule.", 2010/10/28 12:52:34
5, "the prt is out of service @ eng bee and wal busses will pick up @ the turnarounds outside of eng and bee and nut and chestnut streets outside of wal", 2011/12/07 09:24:14
5, "The PRT is currently down between Eng and Beechrust", 2010/09/08 12:20:51
6, "The PRT is currently down at the Beechurst station.", 2012/01/07 11:46:20
2, "The PRT is currently down between Towers and Beechurst.", 2010/09/14 06:53:11
1, "The PRT is currently running on a normal schedule.", 2011/01/20 16:41:30
5, "The prt is out of service @ eng and bee busses pick up @ the turnarounds outside of eng and bee", 2012/01/11 12:12:03
6, "The PRT is currently down at the Walnut Street station.", 2011/10/28 07:38:22
2, "The PRT is currently down between Health Sciences Center and Beechurst.", 2011/01/31 12:11:18
1, "The PRT is currently running on a normal schedule.", 2010/09/17 16:43:00
5, "The PRT is currently down from ENG station going to Bee and WAL", 2010/08/23 09:03:02
1, "The PRT is currently running on a normal schedule.", 2011/11/30 10:00:15
5, "prt is out of service south bound enrineering to beechurst and walnut", 2011/02/10 12:26:37
1, "The PRT is currently running on a normal schedule.", 2010/09/20 15:21:05
2, "The PRT is currently down between Engineering and Beechurst.", 2010/11/09 12:00:23
1, "The PRT is currently running on a normal schedule.", 2010/09/02 12:48:03
5, "The prt is out of serv ice @ wal bee eng and tow busses will pick uo @ the turnarounds outside of eng and bee @ the crosswalk by the tennis courts outside of tow and @ the corner of wal and chestnut streets", 2012/01/25 09:59:39
5, "The prt is out of service @ engbee and wal busses will be picking up @ the corner of walnut and chestnutstreets outside of wal and @ the turnarounds outside of bee and eng", 2011/12/07 13:26:41
1, "The PRT is currently running on a normal schedule.", 2011/01/11 08:21:59
1, "The PRT is currently running on a normal schedule.", 2012/01/09 05:09:32
5, "The prt is currently out of service @ Eng tow and hos busses pick up at the bottom of mtr sta @ hos at the crosswalk by the tennis courts at tow and at the turnarounds outside of tow sta", 2011/01/24 12:24:06
1, "The PRT is currently running on a normal schedule.", 2010/09/14 19:10:32
1, "The PRT is currently running on a normal schedule.", 2012/01/12 05:37:08
1, "The PRT is currently running on a normal schedule.", 2011/10/28 11:39:06
4, "The PRT is currently down.", 2011/01/31 12:58:09
1, "The PRT is currently running on a normal schedule.", 2011/06/09 13:43:50
2, "The PRT is currently down between Beechurst and Health Sciences Center.", 2010/09/17 17:33:07
1, "The PRT is currently running on a normal schedule.", 2010/10/22 17:58:51
5, "PRT is out of service between Beechurst and engineering- bus support is available between those stations - walnut to beechurst is still running- walnut is running to all stations", 2010/09/24 09:32:04
4, "The PRT is currently down.", 2010/09/02 18:27:33
1, "The PRT is currently running on a normal schedule.", 2012/01/25 10:49:41
5, "prt is out of service @eng. station running south to beechurst and walnut", 2011/01/21 08:36:35
6, "The PRT is currently down at the Beechurst station.", 2012/02/27 08:30:11
1, "The PRT is currently running on a normal schedule.", 2010/09/09 18:06:11
1, "The PRT is currently running on a normal schedule.", 2011/02/10 12:44:47
1, "The PRT is currently running on a normal schedule.", 2011/01/26 11:59:48
1, "The PRT is currently running on a normal schedule.", 2011/05/17 14:29:30
5, "The PRT is currently out of service to and from Health Sciences Center. Busses will be picking up at Towers crosswalk by the tennis courts and below the Mountaineer Station at Health Sciences Center", 2010/09/15 06:02:40
